23 Jan,Nerd History: MythBusters 1st aired (2003),https://en.wikipedia.org/wiki/MythBusters
28 Jan,Geek History: LEGO brick 1st patented (1958),https://staysafeonline.org/data-privacy-day/about-dpd/
10 Feb,Nerd History: Mario Kart 64 U.S. Release (1997),https://en.wikipedia.org/wiki/Mario_Kart
12 Feb,Darwin Day,https://www.timeanddate.com/holidays/fun/darwin-day
19 Feb,Nerd History: Nolan Bushnell receives a grant for Pong (1974),https://www.wired.com/story/inside-story-of-pong-excerpt/
22 Feb,World Thinking Day,https://en.wikipedia.org/wiki/World_Thinking_Day
10 Mar,Mario Day,https://www.daysoftheyear.com/days/mario-day/
14 Mar,Pi Day (US),https://en.wikipedia.org/wiki/Pi_Day
25 Mar,Tolkien reading day (the One Ring is destroyed),https://www.tolkiensociety.org/society/events/reading-day/
21 Apr,Astronomy Day,https://en.wikipedia.org/wiki/Astronomy_Day
25 Apr,DNA day,https://en.wikipedia.org/wiki/DNA_Day
27 Apr,Morse Code Day,https://www.daysoftheyear.com/days/morse-code-day/
28 Apr,Superhero Day,https://www.daysoftheyear.com/days/superhero-day/
2 May,Battle of Hogwarts Anniversary (1998),https://www.wizardingworld.com/features/battle-of-hogwarts-timeline
4 May,Star Wars Day,https://www.starwars.com/star-wars-day
18 May,International Museum Day,http://imd.icom.museum/
24 May,Aviation Maintenance Technician Day,https://en.wikipedia.org/wiki/Aviation_Maintenance_Technician_Day
25 May,Geek Pride Day,https://en.wikipedia.org/wiki/Geek_Pride_Day
26 May,National Paper Aeroplane Day,https://nationaltoday.com/national-paper-airplane-day/
6 Jun,Anniversary of the Release of Tetris,https://en.wikipedia.org/wiki/Tetris
10 Jun,Ballpoint Pen Day,https://www.daysoftheyear.com/days/ball-point-pen-day/
16 Jun,Bloomsday,https://en.wikipedia.org/wiki/Bloomsday
28 Jun,Tau day,https://www.timeanddate.com/holidays/fun/tau-day
2 Jul,World UFO Day,https://www.worldufoday.com/
11 Jul,Fair Use Day (US),http://worldsfairuseday.org/
22 Jul,Pi Approximation Day,https://www.timeanddate.com/holidays/fun/pi-approximation-day
28 Jul,System Administrator Appreciation Day,https://sysadminday.com/
1 Aug,Anniversary of the 1st Comic-con,http://comic-cons.xyz/first-comic-convention/
5 Aug,International Beer Day,https://www.daysoftheyear.com/days/international-beer-day/
10 Aug,Nerd History: Smithsonian Institution founded (1846),https://www.si.edu/About/History
24 Aug,Honorary Pluto Day,https://en.wikipedia.org/wiki/Pluto
29 Aug,Judgment Day,https://en.wikipedia.org/wiki/Terminator_2%3A_Judgment_Day
12 Sep,Programmer's day,https://www.timeanddate.com/holidays/world/international-programmers-day
13 Sep,Supernatural Day,https://www.daysoftheyear.com/days/supernatural-day/
19 Sep,Software Freedom Day,https://www.softwarefreedomday.org/
22 Sep,Hobbit Day,https://www.daysoftheyear.com/days/hobbit-day/
28 Sep,Ask a Stupid Question Day,https://www.daysoftheyear.com/days/ask-a-stupid-question-day/
3 Oct,Techies Day,https://www.daysoftheyear.com/days/techies-day/
11 Oct,Ada Lovelace Day,https://www.daysoftheyear.com/days/ada-lovelace-day/
23 Oct,Mole Day (US),https://en.wikipedia.org/wiki/Mole_Day
7 Nov,N7 Day (Mass Effect),https://masseffect.fandom.com/wiki/N7
17 Nov,International Students' Day,https://en.wikipedia.org/wiki/International_Students%27_Day
30 Nov,Computer Security Day,https://www.daysoftheyear.com/days/computer-security-day/
3 Dec,Nerd History: First Sony Playstation (1994),https://www.thoughtco.com/history-of-sony-playstation-4074320
4 Dec,Dice Day,https://www.daysoftheyear.com/days/dice-day/
5 Dec,Day of the Ninja,https://www.daysoftheyear.com/days/ninja-day/
14 Dec,International Shareware Day,https://www.daysoftheyear.com/days/shareware-day/
15 Dec,Nerd History: 1st Superman motion picture (1978),https://en.wikipedia.org/wiki/Superman_(1978_film)
17 Dec,Nerd History: The Simpsons anniversary (1989),https://en.wikipedia.org/wiki/The_Simpsons_(season_1)
